mRNA_case_submitter_id,clinical_case_submitter_id
TCGA-ER-A2NB-01A-12R-A18S-07,TCGA-ER-A2ND
TCGA-ER-A2NC-06A-11R-A18T-07,TCGA-ER-A2NE
TCGA-ER-A2ND-06A-11R-A18T-07,TCGA-ER-A2NF
TCGA-ER-A2NE-06A-21R-A18T-07,TCGA-ER-A2NG
TCGA-ER-A2NF-06A-11R-A18T-07,TCGA-ER-A2NH
TCGA-ER-A2NF-01A-11R-A18T-07,TCGA-ER-A3ES
TCGA-ER-A2NG-06A-11R-A18T-07,TCGA-ER-A3ET
TCGA-ER-A2NH-06A-11R-A18S-07,TCGA-ER-A3EV
TCGA-ER-A3ES-06A-11R-A20F-07,TCGA-ER-A3PL
TCGA-ER-A3ET-06A-11R-A20F-07,TCGA-ER-A42H
TCGA-ER-A3EV-06A-11R-A20F-07,TCGA-ER-A42K
TCGA-ER-A3PL-06A-11R-A239-07,TCGA-ER-A42L
TCGA-ER-A42H-01A-11R-A24X-07,TCGA-FR-A2OS
TCGA-ER-A42K-06A-11R-A24X-07,TCGA-FR-A3R1
TCGA-ER-A42L-06A-11R-A24X-07,TCGA-FR-A3YN
TCGA-FR-A2OS-01A-11R-A21D-07,TCGA-FR-A3YO
TCGA-FR-A3R1-01A-11R-A239-07,TCGA-FR-A44A
TCGA-FR-A3YN-06A-11R-A239-07,TCGA-FR-A69P
TCGA-FR-A3YO-06A-11R-A239-07,TCGA-FR-A726
TCGA-FR-A44A-06A-11R-A24X-07,TCGA-FR-A728
TCGA-FR-A69P-06A-21R-A311-07,TCGA-FR-A729
TCGA-FR-A726-01A-11R-A32P-07,TCGA-FR-A7U8
TCGA-FR-A728-01A-11R-A32P-07,TCGA-FR-A7U9
TCGA-FR-A729-06A-11R-A352-07,TCGA-FR-A7UA
TCGA-FR-A7U8-06A-21R-A352-07,TCGA-FR-A8YC
TCGA-FR-A7U9-06A-11R-A352-07,TCGA-FR-A8YD
TCGA-FR-A7UA-06A-32R-A352-07,TCGA-FR-A8YE
TCGA-FR-A8YC-06A-11R-A37K-07,TCGA-FS-A1YW
TCGA-FR-A8YD-06A-11R-A37K-07,TCGA-FS-A1YX
TCGA-FR-A8YE-06A-11R-A37K-07,TCGA-FS-A1YY
TCGA-FS-A1YW-06A-11R-A18T-07,TCGA-FS-A1Z0
TCGA-FS-A1YX-06A-11R-A18T-07,TCGA-FS-A1Z3
TCGA-FS-A1YY-06A-11R-A18T-07,TCGA-FS-A1Z4
TCGA-FS-A1Z0-06A-11R-A18T-07,TCGA-FS-A1Z7
TCGA-FS-A1Z3-06A-11R-A18T-07,TCGA-FS-A1ZA
TCGA-FS-A1Z4-06A-11R-A18T-07,TCGA-FS-A1ZB
TCGA-FS-A1Z7-06A-11R-A18T-07,TCGA-FS-A1ZC
TCGA-FS-A1ZA-06A-11R-A18T-07,TCGA-FS-A1ZD
TCGA-FS-A1ZB-06A-12R-A18S-07,TCGA-FS-A1ZE
TCGA-FS-A1ZC-06A-11R-A18T-07,TCGA-FS-A1ZF
TCGA-FS-A1ZD-06A-11R-A18T-07,TCGA-FS-A1ZG
TCGA-FS-A1ZE-06A-11R-A18T-07,TCGA-FS-A1ZH
TCGA-FS-A1ZF-06A-12R-A18S-07,TCGA-FS-A1ZJ
TCGA-FS-A1ZG-06A-11R-A18T-07,TCGA-FS-A1ZK
TCGA-FS-A1ZH-06A-11R-A18T-07,TCGA-FS-A1ZM
TCGA-FS-A1ZJ-06A-12R-A18S-07,TCGA-FS-A1ZN
TCGA-FS-A1ZK-06A-11R-A18T-07,TCGA-FS-A1ZP
TCGA-FS-A1ZM-06A-12R-A18S-07,TCGA-FS-A1ZQ
TCGA-FS-A1ZN-01A-11R-A18T-07,TCGA-FS-A1ZR
TCGA-FS-A1ZP-06A-11R-A18T-07,TCGA-FS-A1ZS
TCGA-FS-A1ZQ-06A-11R-A18U-07,TCGA-FS-A1ZT
